comparison,seed,macro_f1,recall_macro,auprc_fault_vs_normal,auprc_multiclass_macro,far,early_recall,mean_detection_delay_seconds,class_0_recall,class_0_f1,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1
HFSC-UNIFORM,42,-0.010744917678047305,-0.009229455360153627,-0.005420145591859993,-0.0005739326551985613,0.052789359429378735,0.012659652281550748,-917.8181818181819,-0.05278935942937868,-0.036754827496262577,-0.0004430660168364686,0.0018041720876451062,0.016314604005600586,-0.008835915497199753,0.0,0.0008069001936278821
HFSC-UNIFORM,43,-0.03264216085011462,-0.02940649903417325,0.0017130556263265095,-0.002362041859799935,-0.0007925295475690319,-0.00030945816688232597,0.0,0.0007925295475689209,0.0005075298132646289,-0.11431103234381923,-0.12663686346160014,3.0437694040319485e-05,-0.0034773044685816323,-0.004137931034482754,-0.0009620052835409912
HFSC-UNIFORM,44,0.14698958508089682,0.1843944016018187,0.3497113184032188,0.19434158470049406,-0.19399745012232522,0.1062566814831486,471.251811594203,0.19399745012232517,0.16856734970790177,0.002215330084182565,-0.03395285666173192,0.5413648262007671,0.45165632398100314,0.0,0.001687523296414231
HFSC-R1,42,-0.03521990678226855,-0.03330081690039233,-0.010219374897490363,-0.008422304213018594,0.1470659177836739,0.017836043436673665,-868.3636363636364,-0.14706591778367384,-0.10449790080197952,-0.0004430660168364686,0.003107701272215213,0.014305716198940832,-0.03901101500018256,0.0,-0.00047841259912740144
HFSC-R1,43,-0.06644392411913669,-0.14753990212757362,-0.005324541557189866,-0.0010488775529051697,-0.024912994038799485,-0.027991897822539746,-15.23809523809524,0.02491299403879943,0.007357440872682419,-0.1683650863978733,-0.17060352206466284,-0.0007305046569672236,-0.006379459026824574,-0.4459770114942529,-0.09615015625774134
HFSC-R1,44,0.10753942699232816,0.13158584996622052,0.41943830503159146,0.1522474985192701,-0.13355845766858482,0.14603612220784334,404.5851449275363,0.13355845766858487,0.14592291647847422,0.00044306601683652413,-0.02879323903423492,0.39234187617946065,0.3116481886237016,0.0,0.0013798419013717022
HFSC-R2,42,-0.012325288884121821,-0.009902806755102689,-0.002298734401704028,-0.0016322482728282628,0.05230695013955411,0.004473077139481307,-190.54545454545453,-0.05230695013955411,-0.04035413874252758,0.0,-0.0004406387851415561,0.01223595300420044,-0.010478565589955746,0.0004597701149425294,0.001972187581137491
HFSC-R2,43,0.014977753129995774,0.014760966181459945,-0.003967941492484028,0.019048650237597164,-0.01288721959960032,0.06259494739211169,203.00216450216448,0.012887219599600264,0.04380584181061786,-0.0022153300841825097,0.0023581905260794955,0.0037742740609970626,0.0034473350535804137,0.04459770114942529,0.01029964512970556
HFSC-R2,44,0.012364632242646945,0.024807752940158467,-0.016008118921511216,-0.004498533496789303,-0.09500017228903207,-0.008158442581443714,436.86956521739137,0.09500017228903213,0.054572941199870106,0.0,-0.008333906295512561,0.004230839471601633,0.0023974199376258776,0.0,0.0008220741286042623
